k;seed;inf;tim
0;499;0.000000;0.003077
10;442;19.246530;0.294495
20;201;37.215080;0.871420
30;398;56.530620;1.841616
40;246;79.953080;3.294065
50;141;110.110700;5.370333
60;352;136.625530;8.064170
70;357;163.542670;11.402579
80;235;191.338050;15.505765
90;355;219.551790;20.436786
100;431;247.810430;26.010410
110;63;272.278150;32.346523
120;220;296.968220;39.421187
130;311;316.760440;47.188035
140;439;337.363690;55.149515
150;334;354.774860;63.524922
160;184;371.045080;72.393692
170;81;385.117070;81.832164
180;434;398.314030;91.419424
190;361;408.120750;101.229940
200;488;417.199970;111.302312
210;307;424.788830;121.885918
220;392;430.240600;132.326927
230;340;436.394440;142.998462
240;52;442.741620;153.831620
250;422;447.926530;164.806247
260;1056;0.000000;0.001563
