k;seed;inf;tim
0;263;15.670820;3.567188
10;466;63.802110;379.533132
20;26;88.536440;974.824169
30;185;106.175650;1690.239594
40;36;121.474710;2445.886380
50;61;133.855830;3264.503877
60;43;146.672710;4159.658884
70;38;158.147100;5066.984510
80;128;170.203590;6004.943003
90;63;180.574420;6972.459025
100;56;191.469310;8001.963488
110;71;201.581140;9142.546382
120;232;211.504330;10319.656773
130;100;219.453700;11415.761648
140;91;228.759600;12512.084519
150;114;237.222480;13611.095376
160;124;246.333440;14707.670260
170;123;254.578060;15772.891049
180;135;262.524370;16797.793268
190;142;270.589370;17813.329466
200;156;278.460270;18824.433401
210;165;285.765730;19811.651531
220;315;293.422630;20776.949674
230;209;301.139060;21708.709187
240;186;309.130770;22647.252525
250;202;316.562820;23557.014598
