k;seed;inf;tim
0;263;15.735030;0.000023
10;210;27.620930;0.201057
20;220;40.195780;0.442316
30;232;54.216380;0.734906
40;160;68.541710;1.097465
50;488;81.559890;1.521814
60;473;95.904110;2.007389
70;11;110.021860;2.564933
80;435;124.529590;3.195852
90;246;140.113000;3.912791
100;390;156.404050;4.720463
110;404;175.170710;5.649109
120;162;191.151130;6.690275
130;156;208.658140;7.841671
140;329;224.814570;9.104591
150;173;242.165900;10.479435
160;245;257.493030;11.967016
170;44;273.152470;13.570310
180;494;287.497120;15.277428
190;251;301.797790;17.088206
200;407;315.586320;19.004998
210;130;328.328430;21.027818
220;470;342.123890;23.149222
230;359;354.953410;25.372415
240;199;365.860250;27.682025
250;255;377.497800;30.076327
260;104;0.031250;32.556806
