k;seed;inf;tim
0;499;0.000000;0.002850
10;417;13.745190;0.121114
20;448;28.281650;0.460665
30;155;40.897430;0.936451
40;427;55.502860;1.600654
50;331;70.094120;2.517462
60;352;84.614970;3.679233
70;348;100.286170;5.166291
80;401;116.045120;6.964982
90;415;132.270290;9.063183
100;344;151.419700;11.579639
110;124;170.004890;14.563707
120;164;187.835910;18.051540
130;368;206.021700;21.951057
140;236;224.043400;26.125635
150;173;241.637430;30.591297
160;443;258.087380;35.484164
170;44;274.079140;40.952733
180;240;289.834390;46.922373
190;224;303.613960;53.439505
200;152;317.129580;60.303446
210;221;329.536930;68.010979
220;444;342.412440;76.004045
230;321;354.097620;84.190948
240;447;364.614980;92.378488
250;251;374.890040;100.463506
260;1056;0.000000;0.001563
