k;seed;inf;tim
0;24;15.580300;4.173819
10;299;68.132940;359.339181
20;5;88.251320;927.422333
30;465;105.428890;1595.917850
40;265;122.750000;2344.003138
50;324;137.711320;3176.356885
60;130;151.308560;4059.898712
70;40;163.607610;4941.477855
80;84;175.271890;5860.638040
90;392;185.662210;6802.862820
100;59;196.481970;7767.099458
110;122;206.646790;8782.938250
120;295;216.681070;9794.620486
130;27;227.559430;10803.110441
140;61;237.750110;11823.680895
150;128;248.222050;12850.394972
160;96;257.695090;13883.108145
170;114;266.836310;14912.593431
180;121;275.071150;15960.467140
190;120;282.871860;17035.810597
200;135;290.618140;18098.444788
210;149;298.477470;19144.793039
220;155;305.483270;20114.536990
230;160;312.679480;21062.351404
240;164;319.712040;22023.028605
250;192;326.613670;22980.043039
