k;seed;inf;tim
0;263;22.154260;0.000116
10;462;46.540250;0.316942
20;397;73.397550;0.821580
30;466;101.197170;1.552873
40;118;127.562230;2.510204
50;411;150.042570;3.672075
60;383;171.433550;5.024583
70;274;190.382120;6.576235
80;95;206.265280;8.269614
90;313;220.866750;10.104490
100;309;232.587950;12.063785
110;356;244.027070;14.136154
120;36;254.086780;16.317011
130;96;263.767710;18.597881
140;171;272.124540;20.966085
150;182;280.104940;23.388301
160;473;287.771800;25.838910
170;490;295.426460;28.312382
180;480;303.028490;30.804502
190;211;310.738330;33.314583
200;478;318.317100;35.842062
210;195;326.002020;38.385508
220;204;333.660720;40.940764
230;246;341.339490;43.508748
240;162;348.843020;46.093041
250;34;355.677790;48.705391
