k;seed;inf;tim
0;437;17.578290;2.406268
10;260;105.614820;137.233270
20;463;159.632360;399.127120
30;440;200.128260;749.754525
40;240;232.602750;1176.713207
50;492;256.740350;1654.692957
60;478;275.511520;2163.305805
70;474;286.965490;2691.723133
80;472;294.294040;3228.534991
90;450;307.605030;3770.606481
100;430;320.719530;4307.718850
110;405;333.977280;4853.982068
120;397;345.133180;5424.228138
130;382;355.169140;6004.807351
140;385;361.624450;6586.620797
150;236;366.202620;7164.086975
160;384;370.635890;7726.486752
170;367;374.554220;8264.954605
180;354;377.105150;8795.266800
190;345;378.965990;9317.620078
200;333;381.512780;9825.619204
210;314;382.444930;10323.396383
220;304;383.784700;10806.042443
230;294;384.393490;11273.361103
240;284;385.373150;11727.775095
250;274;385.867430;12169.579662
