k;seed;inf;tim
0;271;15.314200;0.000032
10;466;73.026580;0.162982
20;440;127.136500;0.550658
30;365;158.695320;1.113976
40;254;200.126300;1.812856
50;195;241.335560;2.685078
60;124;275.265740;3.713042
70;408;305.462690;4.869745
80;444;334.606270;6.153843
90;335;357.569240;7.532602
100;179;379.541280;9.007842
110;451;400.917240;10.578324
120;234;419.993290;12.224073
130;106;434.428770;13.941428
140;311;447.234870;15.717511
150;103;458.109910;17.543242
160;437;469.337750;19.423243
170;483;476.539300;21.352094
180;430;482.844570;23.312859
190;446;488.202870;25.302979
200;114;491.235090;27.319220
210;498;494.446440;29.350879
220;435;497.273010;31.398649
230;415;498.458060;33.456271
240;75;499.358900;35.517008
250;367;499.809720;37.584572
260;129;0.025000;39.655257
