k;seed;inf;tim
0;271;15.301780;0.000114
10;21;92.604430;0.202422
20;313;142.245830;0.671308
30;176;180.806940;1.313165
40;405;211.539770;2.098697
50;457;237.954110;3.007998
60;55;259.492410;4.006210
70;168;284.013380;5.102688
80;33;307.030700;6.299522
90;326;326.608730;7.588082
100;441;338.167850;8.939326
110;131;348.973890;10.329704
120;154;359.246010;11.756897
130;196;369.410990;13.218720
140;370;381.208320;14.718301
150;393;397.770510;16.274993
160;233;411.467380;17.896171
170;26;422.277650;19.568834
180;161;434.654790;21.290900
190;257;446.365880;23.064117
200;222;456.681220;24.883872
210;332;464.735120;26.741583
220;387;471.925540;28.633789
230;79;478.171650;30.550764
240;209;485.677400;32.495665
250;48;490.818740;34.472397
