k;seed;inf;tim
0;499;0.000000;0.003186
10;463;64.649630;0.418498
20;429;126.029620;1.586222
30;365;160.033530;3.301884
40;253;194.620320;5.419831
50;195;234.857600;7.986351
60;208;269.968160;11.037322
70;247;298.981510;14.456000
80;412;325.309950;18.216811
90;190;346.552460;22.248876
100;249;369.587720;26.552390
110;179;388.848370;31.113238
120;232;408.511930;35.935663
130;435;427.211680;40.988402
140;121;442.387870;46.262324
150;494;454.359030;51.706870
160;206;464.863390;57.309410
170;475;473.257310;63.052436
180;219;480.501410;68.896174
190;211;485.664470;74.837133
200;489;490.344690;80.855861
210;462;494.135990;86.934744
220;193;496.670780;93.066555
230;134;498.233970;99.237666
240;369;499.119040;105.438618
250;298;499.615570;111.671114
260;1056;0.000000;0.000000
