k;seed;inf;tim
0;470;11.349780;2.669933
10;146;101.220900;137.820883
20;59;155.901790;416.464589
30;396;199.702000;789.769022
40;260;228.033610;1233.456336
50;480;242.448450;1713.696352
60;477;253.319880;2208.760010
70;448;267.555070;2725.610038
80;451;286.185010;3250.700976
90;428;304.314320;3786.375114
100;438;316.871140;4339.822874
110;413;328.856780;4908.397945
120;397;335.178720;5482.130782
130;385;339.011320;6053.110627
140;384;343.355480;6634.290469
150;360;346.682950;7212.778533
160;326;349.537230;7745.554974
170;342;351.447480;8255.889742
180;337;352.822860;8762.366407
190;327;354.087860;9264.933432
200;315;354.290500;9752.519023
210;303;354.436840;10219.865041
220;295;355.424610;10670.094536
230;286;355.480950;11117.951379
240;273;355.428820;11549.898963
250;268;356.742890;11988.503311
