k;seed;inf;tim
0;271;12.540920;3.527058
10;495;88.275590;24.036481
20;495;133.439230;36.783974
30;495;177.256630;47.460785
40;495;61.410350;97.368816
50;495;47.255360;123.286488
60;495;130.977290;112.145293
70;495;27.503470;150.683881
80;495;57.431540;147.278853
90;499;178.522380;117.992182
100;239;335.967590;1062.840322
110;495;344.975710;829.588744
120;343;365.717790;1225.679770
130;393;370.068830;732.989612
140;270;381.021550;204.380484
150;270;400.823120;315.507588
160;79;414.891370;298.194282
170;187;426.212710;121.567242
180;379;443.332190;411.686871
190;187;453.735360;765.499796
200;33;460.968510;307.466271
210;275;471.573300;351.708333
220;275;479.198850;127.261064
230;275;484.782080;130.378497
240;275;489.627940;343.931281
250;275;492.686900;139.024226
