k;seed;inf;tim
0;271;12.499430;0.000113
10;476;82.124920;0.222660
20;350;132.728010;0.676337
30;482;164.247040;1.342438
40;238;197.783140;2.142946
50;228;229.031030;3.088616
60;37;242.598080;4.120397
70;416;253.071910;5.192647
80;496;264.717300;6.291965
90;464;286.492090;7.452721
100;313;309.156580;8.718805
110;55;328.064070;10.078370
120;7;343.408960;11.512887
130;193;359.661000;13.008596
140;379;378.095560;14.578103
150;36;397.897780;16.236824
160;365;411.125690;17.972378
170;192;425.606770;19.753998
180;94;440.745880;21.603853
190;436;450.336300;23.502536
200;245;459.823700;25.439772
210;468;470.209570;27.418755
220;372;477.525700;29.437157
230;26;483.319260;31.484769
240;209;488.408640;33.557498
250;180;491.624550;35.648665
