k;seed;inf;tim
0;271;0.000000;0.003171
10;251;75.882700;0.670979
20;350;128.496630;2.016297
30;482;159.424760;4.013597
40;467;193.464240;6.395702
50;228;225.485790;9.247615
60;402;240.192190;12.363150
70;262;251.320600;15.609121
80;429;262.334020;18.939154
90;160;284.399110;22.453572
100;166;306.655710;26.292228
110;55;325.559200;30.412795
120;425;341.830860;34.764633
130;71;358.329310;39.305989
140;230;376.606490;44.076899
150;84;396.146340;49.123068
160;340;410.130680;54.386947
170;140;423.527600;59.817078
180;352;438.927280;65.449050
190;59;449.366830;71.238516
200;255;458.641060;77.141367
210;311;468.819410;83.175277
220;451;476.386660;89.323796
230;384;482.196720;95.563888
240;63;487.185190;101.877929
250;180;490.820190;108.251423
260;1056;0.000000;0.000000
