k;seed;inf;tim
0;271;15.458460;2.734424
10;317;103.598720;20.748464
20;481;117.375030;38.430210
30;495;193.329280;42.604968
40;481;91.674130;83.910599
50;495;207.115770;70.979884
60;495;169.187190;91.198016
70;485;29.968080;130.768823
80;495;32.554720;139.175153
90;495;68.148610;141.264438
100;495;0.000000;165.300093
110;495;75.027010;153.478134
120;495;38.869360;179.903482
130;495;120.356550;162.845250
140;495;40.344740;181.284581
150;495;0.000000;197.153993
160;495;0.000000;199.278820
170;495;0.000000;201.094772
180;495;0.000000;207.154140
190;496;184.814790;169.882163
200;499;376.581480;145.576550
210;499;430.861300;135.009152
220;499;438.479370;133.165074
230;496;346.028050;162.256893
240;499;498.426640;115.895375
250;499;499.923510;122.412973
