k;seed;inf;tim
0;270;10.152890;1.650695
10;146;79.779670;103.976713
20;344;119.344060;304.789315
30;495;147.239240;567.120917
40;496;173.040290;875.280689
50;478;192.831860;1229.023465
60;488;211.712670;1617.220982
70;464;227.427110;2018.386302
80;441;245.018040;2433.878893
90;425;261.927350;2870.306932
100;442;276.413420;3332.364811
110;403;291.037560;3800.767577
120;410;303.607970;4282.815981
130;408;312.277740;4770.939730
140;391;320.415340;5256.171547
150;358;327.792580;5743.290985
160;371;333.562380;6243.986315
170;346;338.149670;6751.401504
180;340;341.762430;7241.051099
190;313;344.985410;7722.262679
200;327;347.312500;8192.217901
210;306;349.747260;8637.387287
220;299;352.470890;9066.091845
230;288;354.121490;9483.883721
240;276;356.352240;9890.545873
250;264;359.613300;10285.825299
