k;seed;inf;tim
0;271;10.415450;0.000032
10;466;50.151120;0.117988
20;407;77.926350;0.381014
30;342;110.248650;0.775969
40;199;149.919660;1.327262
50;68;173.964480;2.017276
60;248;202.332900;2.809434
70;408;226.247770;3.721429
80;152;246.597140;4.727679
90;144;267.314480;5.818686
100;414;291.167650;7.008723
110;377;309.211140;8.301701
120;478;332.016430;9.677546
130;180;352.334380;11.155472
140;167;370.523600;12.726908
150;410;390.310920;14.388340
160;175;408.335860;16.132603
170;374;425.458860;17.959676
180;147;440.929040;19.864724
190;460;453.662950;21.836141
200;473;462.767890;23.871089
210;99;470.282670;25.948159
220;28;476.914930;28.061597
230;258;483.171200;30.211088
240;203;487.631100;32.386599
250;51;492.102030;34.587586
260;120;0.003125;36.807374
