k;seed;inf;tim
0;271;0.000000;0.003246
10;18;69.095010;0.597595
20;115;109.085400;1.812366
30;395;142.703860;3.590003
40;201;166.219080;5.727728
50;269;190.093170;8.193676
60;399;208.425410;10.985143
70;185;221.080160;13.972980
80;475;231.431130;17.082507
90;173;245.640120;20.324709
100;214;261.668830;23.770141
110;282;280.725030;27.449283
120;85;297.633530;31.383360
130;55;316.393050;35.546676
140;479;336.169010;40.016275
150;48;350.073910;44.728568
160;251;363.567280;49.632405
170;241;380.008340;54.737019
180;49;394.063800;60.060691
190;206;407.966980;65.580980
200;36;422.170170;71.310135
210;69;434.221420;77.237736
220;369;442.199990;83.320143
230;247;451.712150;89.514835
240;477;460.448740;95.842988
250;490;467.837800;102.299660
260;1056;0.050000;0.000000
