k;seed;inf;tim
0;271;10.384830;0.000116
10;135;72.236740;0.195692
20;313;111.487440;0.590901
30;482;145.412040;1.176442
40;448;166.961700;1.883301
50;340;189.740210;2.692593
60;215;210.056150;3.605587
70;475;220.807120;4.587397
80;328;231.928120;5.607503
90;442;246.691690;6.673050
100;222;263.214830;7.806897
110;238;281.685490;9.019079
120;496;298.387120;10.313312
130;5;316.785910;11.680675
140;105;335.077680;13.140829
150;82;350.134840;14.676955
160;80;364.895900;16.279063
170;168;379.636510;17.953009
180;450;394.290000;19.694903
190;461;407.881410;21.502407
200;384;422.284500;23.373845
210;16;434.512610;25.311083
220;19;442.306370;27.298131
230;114;452.578580;29.325852
240;81;461.289760;31.400320
250;133;468.745620;33.516433
