k;seed;inf;tim
0;271;7.071600;0.000121
10;482;42.233160;0.118467
20;495;66.538980;0.344661
30;297;84.075630;0.670732
40;467;106.481660;1.077537
50;90;131.880820;1.589881
60;333;153.465220;2.208598
70;303;173.814790;2.918843
80;304;192.901220;3.717645
90;309;206.167470;4.587001
100;145;223.209550;5.513247
110;393;239.014340;6.516479
120;446;255.196790;7.592488
130;232;270.057330;8.735711
140;409;283.911100;9.942834
150;121;298.519070;11.213501
160;475;311.974450;12.546904
170;150;325.849800;13.942527
180;434;337.779130;15.400196
190;329;351.442460;16.916918
200;178;362.966980;18.497452
210;98;374.927380;20.137014
220;219;385.349690;21.828999
230;140;396.291090;23.568855
240;11;408.209860;25.365105
250;195;417.685550;27.213678
