k;seed;inf;tim
0;263;5.763440;1.448853
10;420;42.914380;62.218079
20;495;70.645110;179.432010
30;492;93.892770;341.177302
40;333;116.558070;544.864664
50;107;142.212610;792.036450
60;32;169.294020;1089.629912
70;254;196.039420;1429.147396
80;30;220.276750;1805.244993
90;97;241.990550;2207.464537
100;453;260.903880;2638.562531
110;183;279.182610;3098.450803
120;66;296.404370;3557.803519
130;264;312.077390;4034.051605
140;356;326.070800;4523.607441
150;85;339.711720;5034.811149
160;321;352.640730;5557.365697
170;297;364.423480;6077.388285
180;179;375.715590;6615.284023
190;154;385.729160;7152.296343
200;410;394.892380;7685.925133
210;424;404.701990;8224.495087
220;90;413.140760;8743.666221
230;155;421.649660;9261.119506
240;13;429.066760;9774.407621
250;221;436.341130;10262.690762
