k;seed;inf;tim
0;271;7.959620;0.000113
10;491;52.101260;0.133495
20;278;80.233880;0.407106
30;416;101.858490;0.802149
40;427;117.763720;1.255902
50;238;143.775810;1.810920
60;160;167.550480;2.465762
70;436;190.535820;3.221282
80;437;214.286290;4.077545
90;261;236.745940;5.036219
100;148;257.693720;6.100718
110;407;274.589010;7.254777
120;73;286.679170;8.474906
130;181;300.342240;9.746639
140;264;314.848010;11.088319
150;347;329.281700;12.505847
160;93;344.217510;13.991505
170;475;354.912210;15.541816
180;168;363.318870;17.127437
190;495;374.621350;18.746271
200;310;387.098400;20.430363
210;384;397.887530;22.173362
220;47;406.722550;23.961879
230;162;415.247270;25.791287
240;409;425.391750;27.663949
250;242;433.684950;29.585598
