k;seed;inf;tim
0;271;7.996220;0.000118
10;12;52.025400;0.134976
20;136;81.289520;0.410714
30;214;101.918330;0.812911
40;476;117.818320;1.267723
50;200;143.872780;1.827621
60;190;167.516000;2.487422
70;379;190.438920;3.249123
80;55;214.380920;4.110923
90;376;237.080420;5.076254
100;340;258.430030;6.148218
110;205;275.202840;7.311818
120;429;287.142170;8.537948
130;30;300.966380;9.819424
140;95;315.146840;11.170675
150;418;329.877880;12.588893
160;225;344.604710;14.080714
170;477;355.222320;15.639441
180;103;363.660230;17.232113
190;495;375.403170;18.861296
200;20;388.486460;20.553879
210;157;398.293880;22.304084
220;102;407.332350;24.099305
230;87;415.628680;25.935044
240;4;425.793870;27.814573
250;311;434.163430;29.741031
