k;seed;inf;tim
0;263;0.000000;0.003458
10;313;90.970830;0.655475
20;285;137.539620;2.082687
30;479;173.142670;4.021754
40;384;207.321260;6.385558
50;259;233.035800;9.125529
60;75;257.502840;12.178105
70;73;284.823300;15.564504
80;427;308.069420;19.265505
90;344;320.266290;23.246943
100;362;331.190820;27.282133
110;176;342.542560;31.465304
120;94;353.555060;35.728665
130;197;364.081120;40.099140
140;350;374.257250;44.637986
150;261;389.424180;49.256785
160;308;406.492740;54.121428
170;269;420.024890;59.168215
180;91;430.968960;64.435811
190;136;441.289030;69.766577
200;184;449.847780;75.228471
210;441;461.358790;80.816507
220;177;471.700770;86.570372
230;230;478.187900;92.399033
240;76;484.729470;98.285946
250;180;490.496920;104.323448
260;1056;0.000000;0.000000
