k;seed;inf;tim
0;263;8.566500;0.000119
10;367;97.289040;0.212877
20;55;143.027330;0.681504
30;479;176.607930;1.323931
40;99;207.788810;2.100575
50;158;233.819740;3.000478
60;41;256.967480;3.990742
70;9;284.552300;5.090863
80;350;308.235390;6.303649
90;235;320.571990;7.590381
100;94;330.547490;8.915318
110;162;342.262540;10.279209
120;81;352.242800;11.679778
130;404;362.542140;13.114616
140;375;372.622530;14.581409
150;5;389.603060;16.092075
160;24;405.897360;17.682785
170;372;419.269640;19.336419
180;169;431.108890;21.042703
190;127;441.437690;22.795441
200;184;449.225940;24.585086
210;204;460.403090;26.411098
220;46;472.452190;28.287035
230;378;478.782850;30.201991
240;6;485.037610;32.140887
250;75;490.404250;34.106233
