k;seed;inf;tim
0;263;9.972080;0.000032
10;475;68.325770;0.163569
20;430;132.614110;0.562389
30;253;184.204540;1.198497
40;211;223.654450;2.007088
50;171;267.698800;2.991795
60;94;284.840280;4.115898
70;488;328.097650;5.362389
80;212;363.441560;6.761016
90;389;389.996180;8.276579
100;443;414.303930;9.902467
110;435;434.729030;11.614856
120;246;453.718170;13.397516
130;398;466.133350;15.251994
140;7;478.467380;17.156922
150;116;485.769760;19.107319
160;455;492.264060;21.095791
170;393;496.317210;23.111030
180;140;498.235410;25.139233
190;387;499.267170;27.184481
200;106;499.679920;29.241115
210;294;499.939720;31.310042
220;311;499.938320;33.392320
230;349;499.998630;35.490711
240;119;499.999890;37.600349
250;499;500.000000;39.713791
260;499;0.033333;41.826949
