k;seed;inf;tim
0;263;3.968300;0.000034
10;476;85.270670;0.176368
20;450;148.971220;0.572867
30;426;199.339020;1.205631
40;368;228.621030;1.971129
50;254;265.827990;2.862917
60;218;303.028990;3.897993
70;197;341.628180;5.075324
80;171;371.590260;6.389355
90;193;389.253020;7.798515
100;91;410.324960;9.285165
110;370;432.511180;10.854292
120;346;456.063360;12.522224
130;251;466.654400;14.247982
140;133;477.408450;16.026463
150;425;483.418490;17.836630
160;97;491.619030;19.674254
170;498;495.869550;21.547452
180;145;497.936060;23.443433
190;442;497.785550;25.346668
200;74;499.516580;27.251512
210;136;499.657310;29.163104
220;7;499.969760;31.076950
230;499;499.999920;32.992997
240;499;499.999980;34.909455
250;499;499.999990;36.826238
260;499;0.000000;38.741545
