k;seed;inf;tim
0;263;0.000000;0.003226
10;99;97.157090;0.614405
20;485;149.849720;2.022021
30;142;188.099180;3.916079
40;255;227.957800;6.280741
50;309;257.472490;9.059589
60;448;285.503670;12.168942
70;160;305.352660;15.559848
80;88;324.647490;19.176459
90;245;338.563480;22.984888
100;15;351.311020;26.940116
110;417;365.066840;31.049675
120;344;375.356880;35.301172
130;81;384.837000;39.649801
140;452;394.652240;44.110031
150;171;404.582480;48.676039
160;187;414.551100;53.347515
170;211;424.928700;58.125015
180;490;434.900380;63.002397
190;161;446.013920;67.976903
200;387;458.260380;73.081949
210;195;471.248390;78.348685
220;23;479.316350;83.741853
230;101;486.134470;89.208667
240;50;493.651260;94.767726
250;188;497.209620;100.376876
260;1056;0.000000;0.000000
