k;seed;inf;tim
0;499;0.000000;0.003497
10;475;79.046530;0.561966
20;448;148.627380;1.793346
30;412;200.371190;3.773659
40;331;234.401040;6.202560
50;237;263.787960;8.976979
60;211;299.359430;12.119689
70;183;339.904880;15.725376
80;156;363.497090;19.632438
90;84;385.845430;23.778437
100;343;403.026140;28.151581
110;372;423.706700;32.763896
120;344;443.787730;37.598520
130;204;458.464790;42.629845
140;198;472.511160;47.850951
150;316;483.139490;53.236187
160;457;488.961750;58.724128
170;393;493.735720;64.292790
180;196;496.454230;69.911863
190;6;498.345060;75.573218
200;229;499.419180;81.265072
210;44;499.783170;86.991791
220;154;499.991090;92.736349
230;486;500.000000;98.492445
240;465;499.999990;104.252894
250;419;499.999190;110.011379
260;1056;0.000000;0.000000
