k;seed;inf;tim
0;263;3.959370;0.000116
10;99;100.953980;0.205525
20;223;152.337650;0.664102
30;95;194.161400;1.289967
40;97;233.278830;2.068093
50;301;262.002260;2.985122
60;450;288.515730;4.012461
70;260;309.182240;5.126059
80;397;326.884960;6.314929
90;323;339.774740;7.560677
100;123;354.013920;8.856000
110;344;367.327200;10.207868
120;331;377.128510;11.598699
130;81;386.515460;13.023036
140;218;396.524710;14.484351
150;187;406.688010;15.979257
160;164;416.603420;17.507290
170;476;426.765670;19.067855
180;353;439.287720;20.664996
190;116;451.612330;22.304417
200;400;464.703400;23.993296
210;175;476.314750;25.737073
220;326;483.411290;27.514431
230;1;490.679510;29.316013
240;194;495.770300;31.143659
250;334;498.226940;32.983643
