k;seed;inf;tim
0;263;7.434350;0.000114
10;238;58.821740;0.145239
20;367;100.944050;0.489338
30;384;132.298220;0.992271
40;328;167.549510;1.655599
50;392;191.870270;2.470116
60;269;206.835210;3.355550
70;476;218.823260;4.294148
80;54;230.997410;5.270963
90;163;254.123120;6.322443
100;359;277.826500;7.495065
110;142;293.570700;8.753105
120;204;314.226580;10.083709
130;103;329.027450;11.492417
140;485;342.233490;12.964527
150;248;355.802930;14.493788
160;426;371.419370;16.083061
170;418;385.083490;17.742395
180;33;397.985620;19.463408
190;144;408.846990;21.242149
200;325;420.000830;23.072171
210;203;430.214430;24.952690
220;39;439.494940;26.881645
230;218;447.848240;28.855379
240;215;457.545090;30.870943
250;233;465.328720;32.932196
