k;seed;inf;tim
0;263;0.000000;0.003434
10;167;38.603270;0.316206
20;307;67.682370;1.003254
30;322;83.642360;1.949307
40;139;107.918820;3.135346
50;269;132.987010;4.639534
60;320;157.762770;6.471132
70;46;177.293550;8.588115
80;457;199.317670;11.021222
90;146;214.736770;13.633160
100;427;234.011510;16.511433
110;128;246.540620;19.547901
120;330;262.134710;22.774830
130;75;279.132850;26.204984
140;60;294.510370;29.877973
150;144;307.667480;33.754826
160;375;320.965870;37.801754
170;301;333.722550;42.051218
180;484;347.616460;46.510178
190;150;360.165260;51.165641
200;168;370.787720;55.991491
210;362;381.239710;60.958473
220;368;392.556370;66.068423
230;181;402.693120;71.339713
240;448;412.287100;76.762420
250;458;421.500070;82.355637
260;1056;0.000000;0.000000
