k;seed;inf;tim
0;499;0.000000;0.003235
10;437;18.994940;0.126954
20;237;38.913360;0.437468
30;143;55.184370;0.915447
40;212;71.175210;1.529764
50;290;86.167210;2.283411
60;423;106.430020;3.221976
70;232;122.925970;4.357273
80;458;139.804090;5.663909
90;344;157.578410;7.153721
100;121;175.786000;8.835374
110;362;196.384910;10.753450
120;451;216.787040;12.916036
130;334;237.787600;15.359935
140;1;255.834490;18.048196
150;103;273.379280;20.969840
160;191;292.785590;24.124374
170;91;312.275860;27.580636
180;316;331.961690;31.322014
190;279;350.915660;35.389692
200;231;367.376690;39.718435
210;343;382.202040;44.276497
220;134;397.717520;49.070229
230;48;410.624830;54.080978
240;122;423.237830;59.299075
250;86;435.004750;64.721607
260;1056;0.000000;0.000000
