k;seed;inf;tim
0;263;5.081600;0.000036
10;434;25.690580;0.061857
20;176;46.099370;0.182919
30;450;65.959760;0.373071
40;491;91.175070;0.639515
50;181;111.747550;0.994021
60;430;138.139680;1.436430
70;233;157.847860;1.965024
80;366;181.981380;2.582162
90;320;201.253630;3.279906
100;63;221.495650;4.058306
110;195;241.549800;4.919681
120;110;261.200880;5.863273
130;438;279.407390;6.881074
140;346;298.909120;7.982279
150;493;318.604110;9.181104
160;93;337.933960;10.466955
170;90;355.063200;11.833542
180;470;371.953150;13.280261
190;100;386.475510;14.800439
200;39;399.281210;16.397652
210;52;411.730760;18.043723
220;28;423.099790;19.756933
230;10;435.177240;21.539209
240;380;444.456970;23.380500
250;0;453.832050;25.269041
260;349;0.000000;27.213757
