k;seed;inf;tim
0;263;0.000000;0.003322
10;339;40.960470;0.351145
20;404;70.671870;1.084398
30;20;82.984280;2.016710
40;95;109.084020;3.191294
50;47;137.272760;4.712610
60;23;165.176380;6.613457
70;97;192.343210;8.869519
80;257;217.882500;11.498451
90;55;240.481050;14.458342
100;368;261.379650;17.758230
110;162;273.559020;21.248387
120;301;284.751020;24.881298
130;92;300.731320;28.686200
140;255;316.049290;32.707335
150;362;331.764330;36.988110
160;188;342.753630;41.446678
170;493;352.701030;46.034832
180;391;364.611430;50.777052
190;470;379.063440;55.714734
200;195;390.267040;60.822324
210;435;401.525380;66.092818
220;251;409.813360;71.504831
230;103;418.674790;77.024688
240;218;428.720890;82.701779
250;177;438.391570;88.517779
260;1056;0.000000;0.000000
