k;seed;inf;tim
0;21;0.000000;0.000101
1;2071;0.000000;0.318414
2;2084;0.000000;0.637418
3;2052;0.000000;0.954814
4;2046;0.000000;1.272844
5;1929;0.000000;1.590441
6;1959;0.000000;1.907891
7;1818;0.000000;2.224843
8;2088;0.000000;2.541719
9;1801;0.000000;2.859199
10;2086;0.000000;3.176761
11;2032;0.000000;3.495638
12;2037;0.000000;3.812965
13;1957;0.000000;4.130839
14;1861;0.000000;4.448168
15;2064;0.000100;4.766268
16;1815;0.000000;5.083623
17;1796;0.000000;5.403106
18;1732;0.000000;5.721660
19;1498;0.000000;6.039215
20;1297;0.000100;6.357671
21;1609;0.000300;6.675046
22;1700;0.000300;6.993013
23;1294;0.000500;7.311024
24;1256;0.000900;7.630219
25;1302;0.000700;7.948912
26;1415;0.000900;8.266344
27;1079;0.001000;8.583940
28;1674;0.000900;8.902464
29;436;0.001100;9.220630
30;2039;0.001400;9.540596
31;1794;0.001900;9.858634
32;2024;0.002100;10.176864
33;1369;0.002700;10.494686
34;433;0.003200;10.813177
35;1614;0.002700;11.132483
36;1765;0.003500;11.450624
37;1928;0.003200;11.770780
38;2072;0.003700;12.089068
39;1723;0.003600;12.407606
40;1854;0.003500;12.725522
41;1913;0.003500;13.045254
42;1975;0.004200;13.364035
43;2031;0.003800;13.683923
44;1968;0.004000;14.002796
45;1672;0.004000;14.324174
46;985;0.004100;14.667619
47;535;0.003800;15.012907
48;2092;0.003900;15.356893
49;1924;0.004700;15.703408
50;1417;0.004500;16.046619
51;2079;0.004900;16.390037
52;1565;0.004600;16.733513
53;2061;0.005300;17.077692
54;1810;0.004500;17.422929
55;168;0.004700;17.766313
56;1740;0.005200;18.111517
57;632;0.004800;18.454702
58;1973;0.005100;18.799238
59;1416;0.005300;19.142379
60;2083;0.005300;19.487333
61;1572;0.005900;19.830789
62;1897;0.005900;20.176962
63;1798;0.005200;20.520624
64;760;0.005800;20.864147
65;1837;0.006200;21.207720
66;1518;0.006500;21.551842
67;2049;0.006300;21.897084
68;1326;0.006700;22.241740
69;2078;0.006600;22.586326
70;2069;0.008100;22.929695
71;2081;0.007100;23.273863
72;2030;0.008700;23.618093
73;1956;0.009900;23.963434
74;1496;0.007700;24.306975
75;272;0.008600;24.652687
76;1859;0.010500;24.997179
77;2013;0.010200;25.341102
78;1792;0.009900;25.685330
79;586;0.010600;26.029644
80;2015;0.010800;26.373530
81;1550;0.011600;26.719869
82;2036;0.011300;27.064216
83;2001;0.012100;27.408342
84;1727;0.011900;27.752300
85;2077;0.011500;28.096312
86;1505;0.011800;28.441184
87;1299;0.011000;28.785250
88;2057;0.010800;29.131122
89;1826;0.012300;29.475049
90;843;0.012400;29.819303
91;1711;0.013300;30.164507
92;2033;0.013400;30.509273
93;1545;0.012900;30.853954
94;1730;0.012400;31.200221
95;1852;0.013300;31.545140
96;1988;0.012900;31.889916
97;1987;0.013100;32.234768
98;1663;0.013500;32.580023
99;1769;0.013400;32.925017
100;1690;0.014900;33.272038
101;77;0.015500;33.617116
102;1237;0.015700;33.961841
103;550;0.014600;34.306796
104;1712;0.015100;34.652139
105;1197;0.017600;34.997864
106;1906;0.015600;35.343267
107;2028;0.017300;35.690464
108;2017;0.016100;36.035470
