k;seed;inf;tim
0;21;0.000000;0.000941
1;2050;0.000000;0.330751
2;1731;0.000000;0.660238
3;1256;0.000000;0.990681
4;1818;0.000000;1.320470
5;1293;0.000000;1.651559
6;1795;0.000000;1.982856
7;1929;0.000000;2.313850
8;1497;0.000000;2.643664
9;2071;0.000000;2.973647
10;2039;0.000000;3.303432
11;1958;0.000000;3.632755
12;1853;0.000000;3.962154
13;1959;0.000000;4.292881
14;1815;0.000000;4.623438
15;1851;0.001000;4.953160
16;1608;0.000000;5.283650
17;1700;0.001000;5.613839
18;1673;0.000000;5.943967
19;1080;0.002000;6.274594
20;1412;0.000000;6.605373
21;2064;0.001000;6.936058
22;1302;0.001000;7.267180
23;432;0.000000;7.596661
24;1296;0.001000;7.926576
25;2035;0.001000;8.257379
26;2024;0.002000;8.588287
27;1794;0.002000;8.919533
28;1368;0.001000;9.250179
29;2046;0.002000;9.581247
30;47;0.002000;9.911754
31;621;0.002000;10.457120
32;528;0.002000;11.042577
33;1861;0.002000;11.631723
34;437;0.003000;12.221115
35;1309;0.002000;12.813304
36;1765;0.001000;13.404311
37;837;0.004000;13.995056
38;910;0.004000;14.588157
39;535;0.006000;15.178451
40;227;0.002000;15.770439
41;462;0.004000;16.361901
42;69;0.002000;16.955451
43;760;0.003000;17.545403
44;1855;0.006000;18.137729
45;2061;0.004000;18.729175
46;1614;0.006000;19.320776
47;169;0.002000;19.913758
48;35;0.002000;20.505424
49;100;0.003000;21.098168
50;2037;0.003000;21.690258
51;1297;0.006000;22.282178
52;33;0.003000;22.872983
53;1975;0.004000;23.464990
54;1326;0.005000;24.058043
55;1674;0.005000;24.649993
56;1677;0.005000;25.243566
57;1572;0.005000;25.836744
58;1811;0.003000;26.430079
59;343;0.006000;27.021761
60;1507;0.003000;27.614221
61;441;0.004000;28.207215
62;2092;0.004000;28.799900
63;1672;0.005000;29.394009
64;1749;0.005000;29.983295
65;2086;0.003000;30.316355
66;1837;0.006000;30.649918
67;632;0.004000;30.982926
68;2049;0.007000;31.316199
69;1897;0.006000;31.650849
70;1417;0.006000;31.984053
71;985;0.008000;32.318025
72;474;0.006000;32.653591
73;1550;0.003000;32.990183
74;1928;0.003000;33.331830
75;1565;0.007000;33.665007
76;436;0.005000;33.999877
77;427;0.007000;34.336459
78;1798;0.006000;34.677435
79;411;0.005000;35.011558
80;2015;0.006000;35.346505
81;1113;0.006000;35.680825
82;587;0.005000;36.016203
83;1968;0.006000;36.356697
84;1913;0.008000;36.691043
85;1740;0.008000;37.025806
86;2081;0.006000;37.359970
87;2072;0.010000;37.701186
88;755;0.008000;38.036376
89;1500;0.009000;38.373003
90;1177;0.007000;38.707376
91;1052;0.011000;39.041972
92;921;0.011000;39.384149
93;1070;0.006000;39.719212
94;118;0.010000;40.054049
95;1288;0.011000;40.565260
96;201;0.010000;41.153033
97;86;0.012000;41.742624
98;1313;0.005000;42.332408
99;1730;0.012000;42.919514
100;273;0.010000;43.507431
101;2088;0.007000;44.094738
102;109;0.013000;44.685811
103;60;0.010000;45.278514
104;1712;0.014000;45.868425
105;1793;0.011000;46.457516
106;78;0.016000;47.047800
107;2069;0.013000;47.639245
108;12;0.014000;48.230010
109;1110;0.014000;48.819991
110;638;0.012000;49.411064
111;280;0.011000;50.003108
112;563;0.011000;50.592931
113;1720;0.010000;51.185000
114;137;0.010000;51.776312
115;843;0.013000;52.369274
116;2030;0.011000;52.961486
117;1341;0.009000;53.552428
118;155;0.015000;54.145571
119;2032;0.013000;54.741651
120;104;0.013000;55.331211
121;1213;0.012000;55.921623
122;1781;0.010000;56.511804
123;900;0.009000;57.105994
124;586;0.013000;57.697398
125;2036;0.016000;58.288435
126;2079;0.015000;58.884151
127;271;0.011000;59.475500
128;1663;0.014000;60.066807
129;1276;0.015000;60.661879
130;1769;0.016000;61.253482
131;2077;0.019000;61.846531
132;1973;0.014000;62.437754
133;2033;0.017000;63.031486
134;550;0.013000;63.621944
135;233;0.017000;64.215072
136;919;0.017000;64.806627
137;2001;0.016000;65.397795
138;1421;0.018000;65.993305
139;816;0.024000;66.588895
140;34;0.013000;67.181735
141;1906;0.018000;67.777120
142;1346;0.016000;68.370870
143;1989;0.019000;68.963819
144;1494;0.023000;69.557641
145;1967;0.023000;70.151110
146;562;0.023000;70.744413
147;560;0.023000;71.337914
148;170;0.021000;71.933336
149;2029;0.021000;72.527715
150;1832;0.019000;73.123139
151;981;0.025000;73.717231
152;61;0.019000;74.311233
153;1569;0.026000;74.906426
154;913;0.028000;75.500807
155;1893;0.023000;76.096696
156;639;0.023000;76.694713
157;1686;0.022000;77.292572
158;570;0.022000;77.890132
159;1852;0.023000;78.487038
160;741;0.016000;79.083376
161;2026;0.024000;79.678816
162;689;0.027000;80.276582
163;1236;0.023000;80.873990
164;767;0.025000;81.474673
165;1656;0.028000;82.072588
166;1511;0.026000;82.669608
167;143;0.026000;83.266264
168;1619;0.028000;83.864873
169;1807;0.021000;84.462057
170;1377;0.023000;85.062086
171;1396;0.027000;85.660055
172;87;0.025000;86.260355
173;1496;0.030000;86.858648
174;1711;0.029000;87.456441
175;1363;0.035000;88.054655
176;1995;0.036000;88.653232
177;1703;0.031000;89.256332
178;168;0.034000;89.855878
179;695;0.023000;90.459130
180;1644;0.033000;91.058455
181;410;0.036000;91.656767
182;80;0.033000;92.256551
183;541;0.033000;92.856609
184;377;0.028000;93.455064
185;1415;0.031000;94.052571
186;1508;0.030000;94.651788
187;623;0.032000;95.252900
188;1237;0.028000;95.857917
189;94;0.031000;96.462200
190;1835;0.034000;97.064030
191;1159;0.034000;97.665290
192;2066;0.035000;98.266598
193;1863;0.026000;98.868912
194;722;0.031000;99.471602
195;1684;0.032000;100.074751
196;439;0.031000;100.676968
197;573;0.035000;101.280564
198;1401;0.033000;101.884186
199;409;0.038000;102.484996
200;619;0.037000;103.089193
201;2013;0.040000;103.691886
202;27;0.037000;104.295129
203;768;0.039000;104.898470
204;129;0.034000;105.502024
205;272;0.038000;106.104009
206;433;0.033000;106.705458
207;1963;0.037000;107.306998
208;1592;0.034000;107.911374
209;2021;0.037000;108.516644
210;1514;0.034000;109.120375
211;928;0.031000;109.723391
212;1758;0.035000;110.324805
213;2010;0.040000;110.930711
214;404;0.032000;111.534508
215;769;0.035000;112.137301
216;1498;0.033000;112.739367
217;1792;0.036000;113.342054
218;1987;0.034000;113.945092
219;1849;0.043000;114.547541
220;770;0.036000;115.151754
221;1298;0.032000;115.754199
222;543;0.040000;116.360232
223;1609;0.036000;116.964188
224;1179;0.036000;117.567677
225;866;0.033000;118.173132
226;2038;0.034000;118.787125
227;1919;0.040000;119.399758
228;658;0.036000;120.012785
229;525;0.042000;120.623726
230;338;0.036000;121.236282
231;878;0.039000;121.849408
232;1883;0.034000;122.463736
233;38;0.039000;123.077448
234;538;0.043000;123.689014
235;2052;0.040000;124.302335
236;1992;0.042000;124.913726
237;161;0.035000;125.527922
238;1813;0.033000;126.142149
239;2062;0.036000;126.752327
240;724;0.037000;127.365349
241;2078;0.037000;127.978325
242;2084;0.041000;128.590360
243;438;0.040000;129.204610
244;162;0.043000;129.818330
245;1952;0.030000;130.431912
246;363;0.042000;131.044090
247;994;0.045000;131.657296
248;85;0.040000;132.273078
249;1788;0.044000;132.888609
250;84;0.037000;133.501698
251;1526;0.037000;134.116357
252;18;0.036000;134.728012
253;1801;0.043000;135.340857
254;1190;0.038000;135.951483
255;32;0.036000;136.561578
256;191;0.033000;137.172952
257;1957;0.034000;137.785496
258;279;0.046000;138.394690
259;243;0.040000;139.004425
260;315;0.046000;139.614765
261;37;0.037000;140.228887
262;339;0.036000;140.840795
263;2080;0.044000;141.451375
264;150;0.042000;142.063354
265;1458;0.043000;142.674839
266;2031;0.045000;143.285464
267;1693;0.046000;143.896244
268;1495;0.047000;144.508640
269;2023;0.048000;145.122083
270;2075;0.045000;145.732882
271;1463;0.043000;146.345786
272;2043;0.048000;146.955743
273;124;0.044000;147.568264
274;1859;0.048000;148.183500
275;1632;0.044000;148.795707
276;255;0.038000;149.407814
277;1393;0.048000;150.021023
278;1994;0.044000;150.633855
279;1620;0.049000;151.248185
280;1747;0.048000;151.861222
281;1956;0.046000;152.476467
282;2089;0.045000;153.087979
283;1283;0.048000;153.701125
284;1856;0.037000;154.312960
285;1732;0.048000;154.924165
286;204;0.044000;155.536875
287;709;0.046000;156.148415
288;1901;0.048000;156.759870
289;1280;0.054000;157.373847
290;284;0.047000;157.987197
291;187;0.044000;158.598856
292;1917;0.048000;159.211769
293;906;0.053000;159.825516
294;1888;0.051000;160.439429
295;806;0.053000;161.054298
296;199;0.050000;161.667495
297;1820;0.044000;162.280009
298;1254;0.045000;162.892612
299;1022;0.043000;163.505370
300;1120;0.052000;164.118266
301;66;0.048000;164.732005
302;1576;0.057000;165.343840
303;630;0.056000;165.958257
304;1554;0.052000;166.573628
305;298;0.050000;167.190417
306;1329;0.054000;167.805628
307;872;0.056000;168.422409
308;1473;0.046000;169.038395
309;759;0.052000;169.655282
310;1990;0.057000;170.268110
311;423;0.056000;170.886125
312;1432;0.061000;171.502774
313;1504;0.048000;172.120681
314;1537;0.050000;172.737885
315;1150;0.054000;173.353339
316;198;0.047000;173.970585
317;920;0.055000;174.585720
318;1587;0.056000;175.202117
319;2093;0.050000;175.819938
320;1196;0.056000;176.435904
321;1299;0.060000;177.053862
322;875;0.057000;177.671577
323;1086;0.056000;178.290206
324;1626;0.057000;178.907443
325;1279;0.063000;179.525082
326;1972;0.060000;180.143487
327;81;0.065000;180.761921
328;2060;0.061000;181.381490
329;1117;0.059000;181.998776
330;1240;0.062000;182.616749
331;1717;0.061000;183.235091
332;1750;0.059000;183.851383
333;68;0.068000;184.468242
334;1311;0.060000;185.085790
335;637;0.061000;185.704275
336;534;0.064000;186.321833
337;1116;0.060000;186.939923
338;790;0.066000;187.559284
339;1664;0.066000;188.178049
340;2051;0.066000;188.795292
341;1692;0.060000;189.413245
342;600;0.064000;190.030341
343;1400;0.065000;190.648789
344;2017;0.071000;191.266929
345;46;0.067000;191.885503
346;3;0.067000;192.504574
347;1001;0.067000;193.123488
348;1585;0.066000;193.743476
349;6;0.078000;194.362502
350;173;0.069000;194.983189
351;659;0.064000;195.604814
352;1225;0.059000;196.226309
353;987;0.065000;196.845199
354;1566;0.064000;197.465088
355;121;0.064000;198.085221
