k;seed;inf;tim
0;2093;0.000000;0.392339
1;2052;0.000000;0.457368
2;2092;0.000000;0.580908
3;2088;0.000000;0.726883
4;1732;0.000000;0.885022
5;1255;0.000000;1.071344
6;1818;0.000000;1.242857
7;2086;0.000000;1.381011
8;2083;0.000000;1.603907
9;2084;0.000000;1.801518
10;2079;0.000000;2.008467
11;2072;0.000000;2.194890
12;2071;0.000000;2.364671
13;1928;0.000000;2.509017
14;2078;0.000000;2.755869
15;2081;0.000000;3.011586
16;2064;0.000000;3.227619
17;2046;0.000000;3.443606
18;2061;0.000000;3.723059
19;1796;0.000000;3.924444
20;2037;0.000000;4.133122
21;2069;0.000000;4.413471
22;2032;0.000000;4.647221
23;2039;0.000000;4.861768
24;1294;0.000000;5.081231
25;2024;0.000000;5.417826
26;2031;0.000000;5.692400
27;1975;0.000100;5.993587
28;2077;0.000000;6.309541
29;2036;0.000100;6.660475
30;2049;0.000100;7.043595
31;1959;0.000000;7.388990
32;1498;0.000100;7.767354
33;2015;0.000100;8.166596
34;1957;0.000100;8.573340
35;1924;0.000000;8.986723
36;1861;0.000100;9.381175
37;1837;0.000200;9.771087
38;1968;0.000100;10.197159
39;1859;0.000100;10.600229
40;1815;0.000100;11.021841
41;1700;0.000300;11.482193
42;1794;0.000200;11.908175
43;1801;0.000200;12.374128
44;1674;0.000300;12.848061
45;2028;0.000300;13.308990
46;1609;0.000400;13.812258
47;1614;0.000500;14.255800
48;1412;0.000600;14.730595
49;1297;0.000600;15.239661
50;432;0.000600;15.767870
51;1913;0.000800;16.319454
52;1080;0.001200;16.901947
53;272;0.001400;17.564569
54;437;0.001400;18.291906
55;1765;0.001800;19.030982
56;1302;0.001800;19.792255
57;1798;0.002200;20.551008
58;35;0.003000;21.362669
59;535;0.003800;22.352295
60;985;0.004300;23.425331
61;21;0.005100;24.541424
62;168;0.005100;25.660703
63;1326;0.004500;26.777692
64;1369;0.005100;27.910204
65;1113;0.005500;29.032338
66;1565;0.004500;30.157680
67;632;0.005400;31.287146
68;1897;0.005200;32.415173
69;1572;0.005700;33.559708
70;1854;0.006100;34.671500
71;2030;0.005300;35.791963
72;436;0.007500;36.910054
73;1929;0.007500;38.031461
74;1740;0.007100;39.153648
75;1810;0.006800;40.275849
76;1417;0.007500;41.397870
77;760;0.007900;42.565310
78;1496;0.009200;43.754520
79;1672;0.008400;44.942884
80;1727;0.009100;46.132662
81;1956;0.010200;47.320289
82;2013;0.009700;48.508786
83;1550;0.009800;49.696369
84;86;0.011000;50.885018
85;1518;0.011200;52.074770
86;586;0.011800;53.262254
87;155;0.011100;54.457566
88;563;0.012300;55.645111
89;1500;0.012700;56.834169
90;60;0.012700;58.022144
91;77;0.013000;59.186833
92;100;0.013500;60.376900
93;1730;0.012100;61.566047
94;1505;0.013800;62.756126
95;1254;0.013400;63.945673
96;550;0.013400;65.135620
97;1313;0.013300;66.324952
98;1973;0.013800;67.515895
99;1792;0.013400;68.706904
100;233;0.014400;69.897671
101;1545;0.013700;71.086200
102;2001;0.013600;72.245261
103;843;0.014400;73.367651
104;1723;0.014600;74.489665
105;1769;0.015100;75.613868
106;137;0.014400;76.737093
107;1988;0.016100;77.858750
108;919;0.015500;78.980136
109;1712;0.015200;80.101139
110;1663;0.017000;81.223638
111;1781;0.017200;82.346164
112;1341;0.017300;83.469470
113;2033;0.018100;84.592008
114;1893;0.017400;85.714682
115;2057;0.018500;86.837972
116;1196;0.017700;87.960775
117;34;0.019600;89.043640
118;12;0.018300;90.101097
119;104;0.020400;91.160855
120;1852;0.020900;92.218864
121;1967;0.019700;93.278555
122;1906;0.021400;94.336415
123;1236;0.021300;95.396163
124;1494;0.021600;96.454944
125;2017;0.022500;97.513645
