k;seed;inf;tim
0;21;0.000000;0.001344
1;2052;0.000000;0.589714
2;1731;0.000000;1.177230
3;1818;0.000000;1.590435
4;1256;0.000000;1.921567
5;1796;0.000000;2.251212
6;1498;0.000000;2.585333
7;1293;0.000000;2.914548
8;2070;0.000000;3.244649
9;1928;0.000000;3.574440
10;1811;0.000000;3.903940
11;528;0.000000;4.233808
12;1959;0.000000;4.702349
13;1700;0.000000;5.283965
14;1853;0.000000;5.866641
15;1851;0.000000;6.447550
16;2064;0.000000;7.031535
17;1412;0.000000;7.614164
18;1296;0.000000;8.199670
19;1345;0.001000;8.782283
20;910;0.000000;9.363327
21;1080;0.000000;9.946463
22;1608;0.001000;10.529226
23;1958;0.000000;11.114324
24;432;0.000000;11.698535
25;1794;0.001000;12.283080
26;2046;0.001000;12.865715
27;1673;0.002000;13.449143
28;47;0.000000;14.032086
29;2024;0.000000;14.617219
30;1861;0.000000;15.202443
31;2035;0.001000;15.788232
32;437;0.001000;16.374601
33;1302;0.004000;16.961918
34;1309;0.003000;17.548135
35;1326;0.001000;18.132868
36;1674;0.003000;18.720175
37;1368;0.004000;19.308429
38;621;0.004000;19.894514
39;100;0.001000;20.480459
40;535;0.004000;21.067872
41;2037;0.003000;21.653886
42;921;0.004000;22.240468
43;1765;0.005000;22.827331
44;462;0.005000;23.415834
45;35;0.002000;24.005034
46;441;0.003000;24.594773
47;1749;0.003000;25.184363
48;1929;0.004000;25.771963
49;632;0.004000;26.360615
50;1672;0.004000;26.947231
51;1677;0.006000;27.536231
52;1565;0.002000;28.124363
53;837;0.007000;28.712523
54;227;0.003000;29.302563
55;33;0.004000;29.890825
56;985;0.005000;30.479042
57;1572;0.006000;31.065898
58;1975;0.004000;31.654081
59;1913;0.004000;32.240635
60;273;0.004000;32.827862
61;69;0.005000;33.415721
62;474;0.005000;34.003893
63;1614;0.004000;34.591390
64;2061;0.005000;35.179360
65;343;0.003000;35.766876
66;436;0.004000;36.355043
67;2092;0.003000;36.943571
68;427;0.006000;37.532276
69;1897;0.007000;38.121427
70;2049;0.008000;38.710602
71;760;0.005000;39.299059
72;1924;0.007000;39.887757
73;1968;0.004000;40.475034
74;1417;0.003000;41.063762
75;1740;0.003000;41.651410
76;1113;0.004000;42.239303
77;1815;0.005000;42.827228
78;2081;0.006000;43.415096
79;411;0.007000;44.004497
80;587;0.004000;44.594916
81;2072;0.007000;45.184907
82;2086;0.006000;45.773431
83;1855;0.006000;46.364403
84;2039;0.005000;46.954422
85;1798;0.006000;47.547577
86;201;0.008000;48.140564
87;1297;0.009000;48.731498
88;169;0.010000;49.321755
89;1177;0.007000;49.912184
90;1720;0.008000;50.504623
91;1837;0.011000;51.098592
92;2030;0.012000;51.692127
93;1070;0.009000;52.285278
94;233;0.010000;52.876978
95;1793;0.009000;53.465073
96;2013;0.006000;54.057360
97;1500;0.011000;54.650240
98;86;0.011000;55.243685
99;280;0.011000;55.838193
100;1052;0.010000;56.430820
101;638;0.006000;57.023752
102;78;0.013000;57.618078
103;755;0.011000;58.215173
104;2079;0.012000;58.810801
105;137;0.011000;59.404883
106;1587;0.010000;59.997879
107;586;0.011000;60.591602
108;2015;0.011000;61.185377
109;2069;0.011000;61.779831
110;1730;0.013000;62.378942
111;155;0.013000;62.974487
112;563;0.011000;63.570424
113;2001;0.014000;64.166474
114;60;0.013000;64.764934
115;1550;0.016000;65.361671
116;1213;0.012000;65.957202
117;2088;0.016000;66.555611
118;1973;0.013000;67.151174
119;1110;0.010000;67.745698
120;109;0.014000;68.342542
121;1341;0.015000;68.939434
122;843;0.013000;69.533931
123;2077;0.014000;70.131681
124;2033;0.017000;70.729607
125;2036;0.016000;71.327829
126;2032;0.013000;71.925651
127;118;0.015000;72.520840
128;1712;0.018000;73.117755
129;550;0.011000;73.714024
130;1967;0.016000;74.312356
131;919;0.018000;74.910532
132;34;0.018000;75.506930
133;12;0.016000;76.105301
134;104;0.019000;76.703588
135;1346;0.017000;77.301098
136;900;0.014000;77.897508
137;1276;0.015000;78.493661
138;2050;0.018000;79.091990
139;1893;0.017000;79.689723
140;1781;0.017000;80.289345
141;1494;0.019000;80.888489
142;1236;0.017000;81.488072
143;271;0.020000;82.085585
144;1989;0.018000;82.685138
145;2029;0.017000;83.291071
146;1663;0.026000;83.894936
147;1832;0.019000;84.502430
148;170;0.020000;85.107041
149;61;0.021000;85.713096
150;2026;0.021000;86.318315
151;639;0.022000;86.925712
152;816;0.024000;87.532864
153;1906;0.017000;88.139877
154;562;0.024000;88.746179
155;1852;0.021000;89.354268
156;1396;0.025000;89.962590
157;439;0.026000;90.571525
158;560;0.022000;91.178700
159;1569;0.028000;91.787756
160;1496;0.026000;92.395104
161;1686;0.023000;93.004275
162;981;0.024000;93.613880
163;689;0.022000;94.222991
164;1656;0.026000;94.833097
165;1363;0.027000;95.441059
166;1288;0.024000;96.049840
167;1377;0.024000;96.660959
168;913;0.026000;97.271139
169;1863;0.028000;97.879927
170;1963;0.027000;98.488158
171;570;0.027000;99.096691
172;741;0.032000;99.705924
173;143;0.034000;100.315012
174;1421;0.031000;100.925039
175;1703;0.033000;101.537232
176;1619;0.034000;102.148610
177;37;0.030000;102.758979
178;767;0.033000;103.370430
179;769;0.031000;103.980507
180;87;0.029000;104.592584
181;525;0.025000;105.203258
182;1514;0.028000;105.815111
183;269;0.033000;106.425924
184;1159;0.032000;107.039213
185;1792;0.032000;107.648197
186;1179;0.030000;108.260036
187;1807;0.029000;108.871717
188;1511;0.037000;109.483853
189;1237;0.031000;110.097658
190;1401;0.030000;110.709754
191;168;0.032000;111.322033
192;2066;0.036000;111.934483
193;768;0.036000;112.547127
194;32;0.038000;113.160215
195;1526;0.032000;113.772024
196;338;0.034000;114.384266
197;1995;0.038000;114.996001
198;1835;0.034000;115.609996
199;623;0.034000;116.220434
200;1992;0.038000;116.835661
201;1801;0.038000;117.448332
202;404;0.036000;118.061974
203;377;0.030000;118.674158
204;272;0.036000;119.287355
205;695;0.037000;119.901282
206;1508;0.036000;120.512825
207;770;0.039000;121.125626
208;1758;0.036000;121.738262
209;2038;0.029000;122.351505
210;878;0.041000;122.964842
211;1747;0.037000;123.576901
212;928;0.037000;124.190835
213;150;0.037000;124.805046
214;573;0.038000;125.418079
215;410;0.039000;126.029674
216;1883;0.038000;126.641042
217;1644;0.038000;127.254231
218;38;0.033000;127.867832
219;2023;0.040000;128.480111
220;1415;0.040000;129.094055
221;94;0.043000;129.707400
222;724;0.038000;130.322090
223;1711;0.037000;130.935691
224;541;0.038000;131.550185
225;1313;0.035000;132.164686
226;2078;0.037000;132.777921
227;906;0.030000;133.392003
228;27;0.042000;134.005829
229;363;0.040000;134.620778
230;1952;0.037000;135.234812
231;409;0.038000;135.848942
232;1987;0.037000;136.462592
233;658;0.039000;137.076788
234;722;0.039000;137.690525
235;2031;0.040000;138.305864
236;1497;0.039000;138.921379
237;1813;0.042000;139.536301
238;1849;0.039000;140.150908
239;1684;0.030000;140.765978
240;1298;0.035000;141.383042
241;80;0.041000;142.001755
242;1592;0.042000;142.617468
243;1609;0.040000;143.233617
244;1190;0.041000;143.848924
245;129;0.036000;144.466193
246;619;0.040000;145.083164
247;538;0.037000;145.698885
248;18;0.039000;146.313451
249;2080;0.041000;146.928113
250;1632;0.035000;147.542566
251;2021;0.045000;148.158907
252;1788;0.036000;148.774632
253;1620;0.041000;149.387810
254;2075;0.041000;150.001981
255;1495;0.042000;150.615715
256;433;0.042000;151.230172
257;2084;0.046000;151.844805
258;759;0.048000;152.459449
259;1956;0.042000;153.075031
260;1732;0.035000;153.689881
261;1919;0.044000;154.303984
262;2062;0.041000;154.919875
263;1856;0.045000;155.535689
264;84;0.038000;156.152357
265;1693;0.043000;156.767320
266;1576;0.049000;157.384276
267;1859;0.045000;157.998689
268;543;0.046000;158.614554
269;339;0.044000;159.229420
270;1664;0.045000;159.845666
271;162;0.043000;160.460138
272;1280;0.044000;161.075801
273;1283;0.039000;161.691396
274;866;0.046000;162.308098
275;279;0.049000;162.923528
276;820;0.042000;163.541680
277;1957;0.040000;164.158413
278;66;0.047000;164.775176
279;2043;0.040000;165.392075
280;315;0.049000;166.009477
281;161;0.048000;166.625806
282;1994;0.046000;167.242065
283;85;0.049000;167.858534
284;243;0.048000;168.473883
285;2010;0.043000;169.090603
286;1329;0.044000;169.706690
287;1990;0.045000;170.324476
288;709;0.048000;170.942480
289;630;0.047000;171.560421
290;1888;0.041000;172.176625
291;1901;0.051000;172.793406
292;204;0.049000;173.409719
293;191;0.052000;174.027444
294;255;0.046000;174.645581
295;199;0.044000;175.262567
296;1393;0.047000;175.879775
297;1120;0.047000;176.497611
298;1820;0.050000;177.116572
299;298;0.049000;177.734686
300;284;0.038000;178.351528
301;187;0.047000;178.968011
302;1254;0.049000;179.585057
303;872;0.041000;180.203396
304;1022;0.050000;180.821239
305;2089;0.044000;181.439393
306;423;0.049000;182.057986
307;438;0.049000;182.678756
308;1225;0.047000;183.297285
309;920;0.058000;183.915721
310;1917;0.042000;184.535296
311;875;0.054000;185.155558
312;1463;0.054000;185.774149
313;1150;0.051000;186.394732
314;124;0.051000;187.014287
315;1504;0.057000;187.633340
316;198;0.055000;188.252238
317;637;0.054000;188.872678
318;1626;0.055000;189.494510
319;806;0.053000;190.114989
320;1196;0.060000;190.734415
321;45;0.056000;191.354486
322;534;0.055000;191.975913
323;2093;0.062000;192.596967
324;3;0.059000;193.216879
325;1458;0.062000;193.836712
326;1972;0.068000;194.457174
327;2060;0.058000;195.079425
328;1554;0.062000;195.700819
329;1279;0.052000;196.321014
330;1750;0.058000;196.943541
331;1717;0.063000;197.563060
332;1692;0.058000;198.184702
333;374;0.060000;198.808799
334;2051;0.059000;199.433494
335;1117;0.056000;200.057547
336;1299;0.047000;200.680501
337;81;0.059000;201.305669
338;1086;0.063000;201.929658
339;121;0.062000;202.552526
340;1240;0.064000;203.174308
341;1583;0.060000;203.795762
342;659;0.068000;204.417611
343;1473;0.065000;205.040699
344;1537;0.070000;205.662906
345;25;0.073000;206.285449
346;850;0.071000;206.908123
347;1825;0.062000;207.531365
348;1207;0.068000;208.155390
349;6;0.068000;208.778606
350;1523;0.064000;209.402556
351;1116;0.067000;210.025824
352;1387;0.070000;210.650159
353;1079;0.073000;211.274404
354;46;0.066000;211.899565
355;931;0.066000;212.525330
356;1566;0.064000;213.150815
357;453;0.061000;213.776835
358;600;0.067000;214.402409
359;790;0.074000;215.029191
360;537;0.074000;215.655377
361;1432;0.059000;216.283111
362;1426;0.076000;216.910899
363;2017;0.074000;217.538457
364;1188;0.073000;218.165813
365;2019;0.065000;218.792341
366;972;0.070000;219.418452
367;1585;0.071000;220.046277
368;1001;0.076000;220.672270
369;593;0.071000;221.300014
370;368;0.071000;221.926698
371;1501;0.076000;222.553845
372;1181;0.081000;223.181670
373;2048;0.076000;223.810368
374;446;0.073000;224.438973
375;1311;0.073000;225.068707
376;311;0.080000;225.694930
377;1831;0.079000;226.323329
378;2059;0.080000;226.950849
379;1862;0.080000;227.578950
380;126;0.066000;228.207903
